,method,topic,covariate,covariate.value,estimate,std.error,ci.level,ci.lower,ci.upper,label
44,pointestimate,2,date_label,202112,0.037922743,0.001545742,0.95,0.035012797,0.040937935,Topic 2(Covariate Level: 202003)
45,pointestimate,2,date_label,202110,0.037756972,0.001515247,0.95,0.034902408,0.040708348,Topic 2(Covariate Level: 202003)
46,pointestimate,2,date_label,202102,0.037093887,0.001396333,0.95,0.034468538,0.039822055,Topic 2(Covariate Level: 202003)
47,pointestimate,2,date_label,202006,0.02913687,0.001087648,0.95,0.027040447,0.031344833,Topic 2(Covariate Level: 202003)
48,pointestimate,2,date_label,202005,0.029053984,0.001099048,0.95,0.026930511,0.031294785,Topic 2(Covariate Level: 202003)
49,pointestimate,3,date_label,202003,0.028343495,0.001207556,0.95,0.025907581,0.030680775,Topic 3(Covariate Level: 202003)
50,pointestimate,3,date_label,202002,0.028338185,0.001219726,0.95,0.025881807,0.030690055,Topic 3(Covariate Level: 202003)
51,pointestimate,3,date_label,202004,0.028348804,0.001195529,0.95,0.025932444,0.030671496,Topic 3(Covariate Level: 202003)
52,pointestimate,3,date_label,202001,0.028332876,0.001232035,0.95,0.025836388,0.030699334,Topic 3(Covariate Level: 202003)
53,pointestimate,3,date_label,202103,0.028874433,0.001315376,0.95,0.026350118,0.031428804,Topic 3(Covariate Level: 202003)
54,pointestimate,3,date_label,202009,0.028375351,0.001137701,0.95,0.02610964,0.030585294,Topic 3(Covariate Level: 202003)
55,pointestimate,3,date_label,202008,0.028370041,0.001148944,0.95,0.026079326,0.030616133,Topic 3(Covariate Level: 202003)
56,pointestimate,3,date_label,202108,0.02890098,0.001382573,0.95,0.026274961,0.031623269,Topic 3(Covariate Level: 202003)
57,pointestimate,3,date_label,202105,0.028885052,0.001341945,0.95,0.026306309,0.031501621,Topic 3(Covariate Level: 202003)
58,pointestimate,3,date_label,202010,0.02838066,0.00112663,0.95,0.026133507,0.030574791,Topic 3(Covariate Level: 202003)
59,pointestimate,3,date_label,202012,0.028391279,0.001105023,0.95,0.02618917,0.030555042,Topic 3(Covariate Level: 202003)
60,pointestimate,3,date_label,202106,0.028890361,0.001355387,0.95,0.026299326,0.031538908,Topic 3(Covariate Level: 202003)
61,pointestimate,3,date_label,202101,0.028863814,0.001289252,0.95,0.026391859,0.031363959,Topic 3(Covariate Level: 202003)
62,pointestimate,3,date_label,202011,0.02838597,0.001115736,0.95,0.026151984,0.03056455,Topic 3(Covariate Level: 202003)
63,pointestimate,3,date_label,202111,0.028916908,0.001424061,0.95,0.026185281,0.031709861,Topic 3(Covariate Level: 202003)
64,pointestimate,3,date_label,202107,0.028895671,0.001368931,0.95,0.026295564,0.031590524,Topic 3(Covariate Level: 202003)
65,pointestimate,3,date_label,202104,0.028879743,0.001328607,0.95,0.026324683,0.031465213,Topic 3(Covariate Level: 202003)
66,pointestimate,3,date_label,202109,0.02890629,0.00139631,0.95,0.02624741,0.031652621,Topic 3(Covariate Level: 202003)
67,pointestimate,3,date_label,202007,0.028364732,0.001160353,0.95,0.026037483,0.030624154,Topic 3(Covariate Level: 202003)
68,pointestimate,3,date_label,202112,0.028922218,0.001438068,0.95,0.026154292,0.031741289,Topic 3(Covariate Level: 202003)
69,pointestimate,3,date_label,202110,0.028911599,0.001410141,0.95,0.026218174,0.031674933,Topic 3(Covariate Level: 202003)
70,pointestimate,3,date_label,202102,0.028869124,0.001302257,0.95,0.026375551,0.03139909,Topic 3(Covariate Level: 202003)
71,pointestimate,3,date_label,202006,0.028359423,0.001171923,0.95,0.02599755,0.030638737,Topic 3(Covariate Level: 202003)
72,pointestimate,3,date_label,202005,0.028354113,0.00118365,0.95,0.025964741,0.030662217,Topic 3(Covariate Level: 202003)
73,pointestimate,4,date_label,202003,0.031493933,0.001192631,0.95,0.029213264,0.033841431,Topic 4(Covariate Level: 202003)
74,pointestimate,4,date_label,202002,0.031464552,0.001203903,0.95,0.029166548,0.033829492,Topic 4(Covariate Level: 202003)
75,pointestimate,4,date_label,202004,0.031523315,0.001181508,0.95,0.029257096,0.033848251,Topic 4(Covariate Level: 202003)
76,pointestimate,4,date_label,202001,0.031435171,0.00121532,0.95,0.02912435,0.033816988,Topic 4(Covariate Level: 202003)
77,pointestimate,4,date_label,202103,0.034432059,0.001333725,0.95,0.031871946,0.037082816,Topic 4(Covariate Level: 202003)
78,pointestimate,4,date_label,202009,0.031670221,0.001128275,0.95,0.029505305,0.033886819,Topic 4(Covariate Level: 202003)
79,pointestimate,4,date_label,202008,0.03164084,0.001138589,0.95,0.029469399,0.033880554,Topic 4(Covariate Level: 202003)
80,pointestimate,4,date_label,202108,0.034578965,0.001398424,0.95,0.031907696,0.037372003,Topic 4(Covariate Level: 202003)
81,pointestimate,4,date_label,202105,0.034490822,0.001359306,0.95,0.031883613,0.037192473,Topic 4(Covariate Level: 202003)
82,pointestimate,4,date_label,202010,0.031699602,0.001118137,0.95,0.029547826,0.03388635,Topic 4(Covariate Level: 202003)
83,pointestimate,4,date_label,202012,0.031758365,0.001098407,0.95,0.029631915,0.033900396,Topic 4(Covariate Level: 202003)
84,pointestimate,4,date_label,202106,0.034520203,0.001372249,0.95,0.031897646,0.03725085,Topic 4(Covariate Level: 202003)
85,pointestimate,4,date_label,202101,0.034373297,0.00130857,0.95,0.031855523,0.036973944,Topic 4(Covariate Level: 202003)
86,pointestimate,4,date_label,202011,0.031728983,0.001108179,0.95,0.02959185,0.033892899,Topic 4(Covariate Level: 202003)
87,pointestimate,4,date_label,202111,0.034667109,0.001438373,0.95,0.031910229,0.037543406,Topic 4(Covariate Level: 202003)
88,pointestimate,4,date_label,202107,0.034549584,0.001385289,0.95,0.031905759,0.037314341,Topic 4(Covariate Level: 202003)
89,pointestimate,4,date_label,202104,0.03446144,0.001346464,0.95,0.031874132,0.037142415,Topic 4(Covariate Level: 202003)
90,pointestimate,4,date_label,202109,0.034608347,0.001411652,0.95,0.031910052,0.037432322,Topic 4(Covariate Level: 202003)
91,pointestimate,4,date_label,202007,0.031611458,0.001149074,0.95,0.029410868,0.033871343,Topic 4(Covariate Level: 202003)
92,pointestimate,4,date_label,202112,0.03469649,0.001451862,0.95,0.031908293,0.037591376,Topic 4(Covariate Level: 202003)
93,pointestimate,4,date_label,202110,0.034637728,0.001424969,0.95,0.031916466,0.037489578,Topic 4(Covariate Level: 202003)
94,pointestimate,4,date_label,202102,0.034402678,0.001321093,0.95,0.031858525,0.037024598,Topic 4(Covariate Level: 202003)
95,pointestimate,4,date_label,202006,0.031582077,0.001159725,0.95,0.029362595,0.033863286,Topic 4(Covariate Level: 202003)
96,pointestimate,4,date_label,202005,0.031552696,0.001170538,0.95,0.029313211,0.03385333,Topic 4(Covariate Level: 202003)
97,pointestimate,5,date_label,202003,0.052896548,0.001375849,0.95,0.050129208,0.055566596,Topic 5(Covariate Level: 202003)
98,pointestimate,5,date_label,202002,0.052957998,0.001389109,0.95,0.050160808,0.055649918,Topic 5(Covariate Level: 202003)
99,pointestimate,5,date_label,202004,0.052835098,0.001362751,0.95,0.050091679,0.055475606,Topic 5(Covariate Level: 202003)
100,pointestimate,5,date_label,202001,0.053019448,0.001402526,0.95,0.050192408,0.055742402,Topic 5(Covariate Level: 202003)
101,pointestimate,5,date_label,202103,0.046751535,0.00149283,0.95,0.043801818,0.049656033,Topic 5(Covariate Level: 202003)
102,pointestimate,5,date_label,202009,0.052527847,0.001299855,0.95,0.049925469,0.055043648,Topic 5(Covariate Level: 202003)
103,pointestimate,5,date_label,202008,0.052589297,0.001312071,0.95,0.049954625,0.055115509,Topic 5(Covariate Level: 202003)
104,pointestimate,5,date_label,202108,0.046444284,0.001566315,0.95,0.043415868,0.049515487,Topic 5(Covariate Level: 202003)
105,pointestimate,5,date_label,202105,0.046628635,0.001521869,0.95,0.043646973,0.049604427,Topic 5(Covariate Level: 202003)
106,pointestimate,5,date_label,202010,0.052466397,0.00128783,0.95,0.049878143,0.054964778,Topic 5(Covariate Level: 202003)
107,pointestimate,5,date_label,202012,0.052343497,0.001264378,0.95,0.049795611,0.054794561,Topic 5(Covariate Level: 202003)
108,pointestimate,5,date_label,202106,0.046567185,0.001536569,0.95,0.043571564,0.049563993,Topic 5(Covariate Level: 202003)
109,pointestimate,5,date_label,202101,0.046874435,0.001464298,0.95,0.044005742,0.049729053,Topic 5(Covariate Level: 202003)
110,pointestimate,5,date_label,202011,0.052404947,0.001276003,0.95,0.049844803,0.054879108,Topic 5(Covariate Level: 202003)
111,pointestimate,5,date_label,202111,0.046259934,0.001611748,0.95,0.043190283,0.049434663,Topic 5(Covariate Level: 202003)
112,pointestimate,5,date_label,202107,0.046505734,0.001551385,0.95,0.043493411,0.049533009,Topic 5(Covariate Level: 202003)
113,pointestimate,5,date_label,202104,0.046690085,0.001507288,0.95,0.04372257,0.049635062,Topic 5(Covariate Level: 202003)
114,pointestimate,5,date_label,202109,0.046382834,0.001581353,0.95,0.043345891,0.049497964,Topic 5(Covariate Level: 202003)
115,pointestimate,5,date_label,202007,0.052650747,0.001324474,0.95,0.049989842,0.055194314,Topic 5(Covariate Level: 202003)
116,pointestimate,5,date_label,202112,0.046198484,0.001627097,0.95,0.043092165,0.049410633,Topic 5(Covariate Level: 202003)
117,pointestimate,5,date_label,202110,0.046321384,0.001596499,0.95,0.043268772,0.049470218,Topic 5(Covariate Level: 202003)
118,pointestimate,5,date_label,202102,0.046812985,0.001478499,0.95,0.043904581,0.049699861,Topic 5(Covariate Level: 202003)
119,pointestimate,5,date_label,202006,0.052712197,0.001337059,0.95,0.050022363,0.055280345,Topic 5(Covariate Level: 202003)
120,pointestimate,5,date_label,202005,0.052773647,0.001349819,0.95,0.05005578,0.055376692,Topic 5(Covariate Level: 202003)
121,pointestimate,6,date_label,202003,0.026530952,0.001201061,0.95,0.024093428,0.028821639,Topic 6(Covariate Level: 202003)
122,pointestimate,6,date_label,202002,0.026467339,0.001211488,0.95,0.024001827,0.028793215,Topic 6(Covariate Level: 202003)
123,pointestimate,6,date_label,202004,0.026594564,0.001190819,0.95,0.024190288,0.028855235,Topic 6(Covariate Level: 202003)
124,pointestimate,6,date_label,202001,0.026403727,0.001222094,0.95,0.023916528,0.028757022,Topic 6(Covariate Level: 202003)
125,pointestimate,6,date_label,202103,0.03289218,0.001495993,0.95,0.029901137,0.035710677,Topic 6(Covariate Level: 202003)
126,pointestimate,6,date_label,202009,0.026912625,0.001142536,0.95,0.024614045,0.029072955,Topic 6(Covariate Level: 202003)
127,pointestimate,6,date_label,202008,0.026849013,0.001151785,0.95,0.024521857,0.029031444,Topic 6(Covariate Level: 202003)
128,pointestimate,6,date_label,202108,0.033210242,0.001565206,0.95,0.030112175,0.036190198,Topic 6(Covariate Level: 202003)
129,pointestimate,6,date_label,202105,0.033019405,0.00152341,0.95,0.029992265,0.035901952,Topic 6(Covariate Level: 202003)
130,pointestimate,6,date_label,202010,0.026976238,0.0011335,0.95,0.02469668,0.029125416,Topic 6(Covariate Level: 202003)
131,pointestimate,6,date_label,202012,0.027103462,0.001116091,0.95,0.024843009,0.029218088,Topic 6(Covariate Level: 202003)
132,pointestimate,6,date_label,202106,0.033083017,0.001537255,0.95,0.030036105,0.035994949,Topic 6(Covariate Level: 202003)
133,pointestimate,6,date_label,202101,0.032764956,0.001468957,0.95,0.029819471,0.035537244,Topic 6(Covariate Level: 202003)
134,pointestimate,6,date_label,202011,0.02703985,0.001124684,0.95,0.024774069,0.029173632,Topic 6(Covariate Level: 202003)
135,pointestimate,6,date_label,202111,0.033401078,0.00160775,0.95,0.030236568,0.036454017,Topic 6(Covariate Level: 202003)
136,pointestimate,6,date_label,202107,0.033146629,0.001551187,0.95,0.030073637,0.036095089,Topic 6(Covariate Level: 202003)
137,pointestimate,6,date_label,202104,0.032955792,0.001509655,0.95,0.029943115,0.03580513,Topic 6(Covariate Level: 202003)
138,pointestimate,6,date_label,202109,0.033273854,0.001579307,0.95,0.030148462,0.03628316,Topic 6(Covariate Level: 202003)
139,pointestimate,6,date_label,202007,0.026785401,0.001161243,0.95,0.024434667,0.028983533,Topic 6(Covariate Level: 202003)
140,pointestimate,6,date_label,202112,0.033464691,0.001622088,0.95,0.030277328,0.036540993,Topic 6(Covariate Level: 202003)
141,pointestimate,6,date_label,202110,0.033337466,0.001593489,0.95,0.03019469,0.036368153,Topic 6(Covariate Level: 202003)
142,pointestimate,6,date_label,202102,0.032828568,0.001482426,0.95,0.029859158,0.035618285,Topic 6(Covariate Level: 202003)
143,pointestimate,6,date_label,202006,0.026721789,0.001170905,0.95,0.024355115,0.02893829,Topic 6(Covariate Level: 202003)
144,pointestimate,6,date_label,202005,0.026658176,0.001180765,0.95,0.024280303,0.0288946,Topic 6(Covariate Level: 202003)
145,pointestimate,7,date_label,202003,0.037103215,0.001213446,0.95,0.034860565,0.039462156,Topic 7(Covariate Level: 202003)
146,pointestimate,7,date_label,202002,0.037067988,0.001226033,0.95,0.034798107,0.039454343,Topic 7(Covariate Level: 202003)
147,pointestimate,7,date_label,202004,0.037138443,0.001200995,0.95,0.034917453,0.039480179,Topic 7(Covariate Level: 202003)
148,pointestimate,7,date_label,202001,0.03703276,0.001238752,0.95,0.034731292,0.039431849,Topic 7(Covariate Level: 202003)
149,pointestimate,7,date_label,202103,0.040625959,0.001285652,0.95,0.038147756,0.043128508,Topic 7(Covariate Level: 202003)
150,pointestimate,7,date_label,202009,0.03731458,0.001140937,0.95,0.035197864,0.039545084,Topic 7(Covariate Level: 202003)
151,pointestimate,7,date_label,202008,0.037279353,0.001152641,0.95,0.035145774,0.039530558,Topic 7(Covariate Level: 202003)
152,pointestimate,7,date_label,202108,0.040802096,0.001353112,0.95,0.038209471,0.043422578,Topic 7(Covariate Level: 202003)
153,pointestimate,7,date_label,202105,0.040696414,0.001312316,0.95,0.038165875,0.043243542,Topic 7(Covariate Level: 202003)
154,pointestimate,7,date_label,202010,0.037349807,0.001129397,0.95,0.035259117,0.03955988,Topic 7(Covariate Level: 202003)
155,pointestimate,7,date_label,202012,0.037420262,0.00110683,0.95,0.035360006,0.039591667,Topic 7(Covariate Level: 202003)
156,pointestimate,7,date_label,202106,0.040731641,0.001325812,0.95,0.038171699,0.043297804,Topic 7(Covariate Level: 202003)
157,pointestimate,7,date_label,202101,0.040555504,0.001259446,0.95,0.038116026,0.043009443,Topic 7(Covariate Level: 202003)
158,pointestimate,7,date_label,202011,0.037385035,0.001118027,0.95,0.035316957,0.039575001,Topic 7(Covariate Level: 202003)
159,pointestimate,7,date_label,202111,0.040907778,0.001394791,0.95,0.038228554,0.043607515,Topic 7(Covariate Level: 202003)
160,pointestimate,7,date_label,202107,0.040766869,0.001339411,0.95,0.038194554,0.043362424,Topic 7(Covariate Level: 202003)
161,pointestimate,7,date_label,202104,0.040661186,0.001298929,0.95,0.038156846,0.043189206,Topic 7(Covariate Level: 202003)
162,pointestimate,7,date_label,202109,0.040837323,0.001366911,0.95,0.038213737,0.043482826,Topic 7(Covariate Level: 202003)
163,pointestimate,7,date_label,202007,0.037244125,0.001164503,0.95,0.035090226,0.039512632,Topic 7(Covariate Level: 202003)
164,pointestimate,7,date_label,202112,0.040943006,0.001408867,0.95,0.038223195,0.043669531,Topic 7(Covariate Level: 202003)
165,pointestimate,7,date_label,202110,0.040872551,0.001380805,0.95,0.038222075,0.043543033,Topic 7(Covariate Level: 202003)
166,pointestimate,7,date_label,202102,0.040590731,0.00127249,0.95,0.038136134,0.043070828,Topic 7(Covariate Level: 202003)
167,pointestimate,7,date_label,202006,0.037208898,0.001176519,0.95,0.035038192,0.039500666,Topic 7(Covariate Level: 202003)
168,pointestimate,7,date_label,202005,0.03717367,0.001188685,0.95,0.034974346,0.039489797,Topic 7(Covariate Level: 202003)
169,pointestimate,8,date_label,202003,0.076334718,0.001221832,0.95,0.073835263,0.078600261,Topic 8(Covariate Level: 202003)
170,pointestimate,8,date_label,202002,0.076609542,0.001235295,0.95,0.074086165,0.078897199,Topic 8(Covariate Level: 202003)
171,pointestimate,8,date_label,202004,0.076059895,0.001208512,0.95,0.073601194,0.078294221,Topic 8(Covariate Level: 202003)
172,pointestimate,8,date_label,202001,0.076884365,0.001248897,0.95,0.074338728,0.079197756,Topic 8(Covariate Level: 202003)
173,pointestimate,8,date_label,202103,0.048852376,0.001328351,0.95,0.04619373,0.051395871,Topic 8(Covariate Level: 202003)
174,pointestimate,8,date_label,202009,0.074685778,0.001144237,0.95,0.072361398,0.076806277,Topic 8(Covariate Level: 202003)
175,pointestimate,8,date_label,202008,0.074960601,0.001156765,0.95,0.072609558,0.077115299,Topic 8(Covariate Level: 202003)
176,pointestimate,8,date_label,202108,0.047478259,0.001401489,0.95,0.044706593,0.050142465,Topic 8(Covariate Level: 202003)
177,pointestimate,8,date_label,202105,0.048302729,0.001357296,0.95,0.045616038,0.050880194,Topic 8(Covariate Level: 202003)
178,pointestimate,8,date_label,202010,0.074410954,0.001131883,0.95,0.07211523,0.076504018,Topic 8(Covariate Level: 202003)
179,pointestimate,8,date_label,202012,0.073861307,0.001107723,0.95,0.071605376,0.075934688,Topic 8(Covariate Level: 202003)
180,pointestimate,8,date_label,202106,0.048027906,0.001371927,0.95,0.045316182,0.050625459,Topic 8(Covariate Level: 202003)
181,pointestimate,8,date_label,202101,0.049402023,0.001299853,0.95,0.046814831,0.051899103,Topic 8(Covariate Level: 202003)
182,pointestimate,8,date_label,202011,0.074136131,0.00111971,0.95,0.071856636,0.07622183,Topic 8(Covariate Level: 202003)
183,pointestimate,8,date_label,202111,0.046653789,0.001446537,0.95,0.043800942,0.049411018,Topic 8(Covariate Level: 202003)
184,pointestimate,8,date_label,202107,0.047753083,0.001386659,0.95,0.045015188,0.050385772,Topic 8(Covariate Level: 202003)
185,pointestimate,8,date_label,202104,0.048577553,0.00134277,0.95,0.045903076,0.051140362,Topic 8(Covariate Level: 202003)
186,pointestimate,8,date_label,202109,0.047203436,0.001416414,0.95,0.044405386,0.049897634,Topic 8(Covariate Level: 202003)
187,pointestimate,8,date_label,202007,0.075235425,0.001169462,0.95,0.07286666,0.077397913,Topic 8(Covariate Level: 202003)
188,pointestimate,8,date_label,202112,0.046378966,0.00146173,0.95,0.043490266,0.049156194,Topic 8(Covariate Level: 202003)
189,pointestimate,8,date_label,202110,0.046928612,0.001431431,0.95,0.044106787,0.049658645,Topic 8(Covariate Level: 202003)
190,pointestimate,8,date_label,202102,0.0491272,0.001314045,0.95,0.04649896,0.051642438,Topic 8(Covariate Level: 202003)
191,pointestimate,8,date_label,202006,0.075510248,0.001182322,0.95,0.073120407,0.077702771,Topic 8(Covariate Level: 202003)
192,pointestimate,8,date_label,202005,0.075785071,0.001195341,0.95,0.073363677,0.078003677,Topic 8(Covariate Level: 202003)
193,pointestimate,9,date_label,202003,0.030322747,0.001457629,0.95,0.027583385,0.033291677,Topic 9(Covariate Level: 202003)
194,pointestimate,9,date_label,202002,0.030315893,0.00147342,0.95,0.027550042,0.033311098,Topic 9(Covariate Level: 202003)
195,pointestimate,9,date_label,202004,0.0303296,0.00144198,0.95,0.027614338,0.03327234,Topic 9(Covariate Level: 202003)
196,pointestimate,9,date_label,202001,0.03030904,0.001489349,0.95,0.027510771,0.033335987,Topic 9(Covariate Level: 202003)
197,pointestimate,9,date_label,202103,0.03100808,0.001443285,0.95,0.028196874,0.033807396,Topic 9(Covariate Level: 202003)
198,pointestimate,9,date_label,202009,0.030363867,0.001366033,0.95,0.027799791,0.033153794,Topic 9(Covariate Level: 202003)
199,pointestimate,9,date_label,202008,0.030357013,0.001380899,0.95,0.027747898,0.03316875,Topic 9(Covariate Level: 202003)
200,pointestimate,9,date_label,202108,0.031042347,0.001522963,0.95,0.028081689,0.033981697,Topic 9(Covariate Level: 202003)
201,pointestimate,9,date_label,202105,0.031021787,0.001474749,0.95,0.028150921,0.033865389,Topic 9(Covariate Level: 202003)
202,pointestimate,9,date_label,202010,0.03037072,0.00135134,0.95,0.02784102,0.033134767,Topic 9(Covariate Level: 202003)
203,pointestimate,9,date_label,202012,0.030384427,0.001322494,0.95,0.027905774,0.033098405,Topic 9(Covariate Level: 202003)
204,pointestimate,9,date_label,202106,0.03102864,0.001490689,0.95,0.028132027,0.033904849,Topic 9(Covariate Level: 202003)
205,pointestimate,9,date_label,202101,0.030994373,0.001412406,0.95,0.028256605,0.033752477,Topic 9(Covariate Level: 202003)
206,pointestimate,9,date_label,202011,0.030377573,0.001336825,0.95,0.027869274,0.033115108,Topic 9(Covariate Level: 202003)
207,pointestimate,9,date_label,202111,0.031062907,0.001572299,0.95,0.028006664,0.034126354,Topic 9(Covariate Level: 202003)
208,pointestimate,9,date_label,202107,0.031035493,0.001506762,0.95,0.02810729,0.033940946,Topic 9(Covariate Level: 202003)
209,pointestimate,9,date_label,202104,0.031014933,0.001458946,0.95,0.028173898,0.033836481,Topic 9(Covariate Level: 202003)
210,pointestimate,9,date_label,202109,0.0310492,0.001539289,0.95,0.028059014,0.03402903,Topic 9(Covariate Level: 202003)
211,pointestimate,9,date_label,202007,0.03035016,0.001395932,0.95,0.027711214,0.033189915,Topic 9(Covariate Level: 202003)
212,pointestimate,9,date_label,202112,0.03106976,0.001588975,0.95,0.027994233,0.034163716,Topic 9(Covariate Level: 202003)
213,pointestimate,9,date_label,202110,0.031056053,0.001555736,0.95,0.028030436,0.034083061,Topic 9(Covariate Level: 202003)
214,pointestimate,9,date_label,202102,0.031001227,0.00142777,0.95,0.02822373,0.033777103,Topic 9(Covariate Level: 202003)
215,pointestimate,9,date_label,202006,0.030343307,0.001411126,0.95,0.027679882,0.03321761,Topic 9(Covariate Level: 202003)
216,pointestimate,9,date_label,202005,0.030336453,0.001426477,0.95,0.02764834,0.033242342,Topic 9(Covariate Level: 202003)
217,pointestimate,10,date_label,202003,0.039999813,0.001364022,0.95,0.037339155,0.04262932,Topic 10(Covariate Level: 202003)
218,pointestimate,10,date_label,202002,0.039807887,0.001378297,0.95,0.037113423,0.042461056,Topic 10(Covariate Level: 202003)
219,pointestimate,10,date_label,202004,0.040191738,0.001349938,0.95,0.037577115,0.042798271,Topic 10(Covariate Level: 202003)
220,pointestimate,10,date_label,202001,0.039615961,0.001392758,0.95,0.036890222,0.042300972,Topic 10(Covariate Level: 202003)
